ae_competentAuthority,ae_homeMemberState,ae_lei_name,ae_lei,ae_lei_cou_code,ae_commercial_name,ae_address,ae_website,ac_authorisationNotificationDate,ac_authorisationEndDate,ae_exemption48_4,ae_exemption48_5,ae_authorisation_other_emt,ae_DTI_FFG,ae_DTI,wp_url,wp_authorisationNotificationDate,wp_comments,wp_lastupdate
Czech National Bank (CNB),CZ,Payment Corporation SE,315700IJDQF91J9C8B68,CZ,Stable Labs,"Krizikova 710/30, Karlin, 18600 Prague 8, Czech Republic",https://stablelabs.co/,26/04/2017,,YES,YES,Electronic money institution,,,https://stablelabs.co/whitepaper0.pdf,17/05/2025,"EMT is issued under the limited network exception. It is not offered to the general public, but is used solely within a clearly defined, functionally limited ecosystem.",30/10/2025
Czech National Bank (CNB),CZ,Payment Corporation SE,315700IJDQF91J9C8B68,CZ,Stable Labs,"Krizikova 710/30, Karlin, 18600 Prague 8, Czech Republic",https://stablelabs.co/,26/04/2017,,YES,YES,Electronic money institution,,,https://stablelabs.co/whitepaper.pdf,20/09/2025,"EMT is issued under the limited network exception. It is not offered to the general public, but is used solely within a clearly defined, functionally limited ecosystem.",30/10/2025
Czech National Bank (CNB),CZ,Payment Corporation SE,315700IJDQF91J9C8B68,CZ,Stable Labs,"Krizikova 710/30, Karlin, 18600 Prague 8, Czech Republic",https://stablelabs.co/,26/04/2017,,YES,YES,Electronic money institution,,,https://stablelabs.co/whitepaper1.pdf,16/10/2025,"EMT is issued under the limited network exception. It is not offered to the general public, but is used solely within a clearly defined, functionally limited ecosystem.",30/10/2025
Federal Financial Supervisory Authority (BaFin),DE,AllUnity GmbH,3912007G8L8CD3HFIV26,DE,AllUnity,"Sandweg 94, 60316 Frankfurt am Main, Germany",https://allunity.com/,01/07/2025,,No,No,Electronic money institution,,,https://allunity.com/whitepaper/,22/07/2025,"Extension to additional blockchains (Arbitrum, Base, Optimism, Polygon); insertion of DTI code in B.12; minor editorial/terminological changes; updated sections B.12, E.1, E.2, E.5, E.6, S.6–S.8, S.11, S.13, S.14",24/09/2025
Finanstilsynet,DK,Eurodollar ApS,8945001XWFMRUTCAK575,DK,Eurodollar,"Gammel Kongevej 120, 1. tv, KØBENHAVN ,DK",www.eurodollar.fi,17/02/2025,,No,No,Electronic money institution,,,EMT_NO_WP,10/04/2025,,
Finanssivalvonta (FIN-FSA),FI,Paxos Issuance Europe Oy,743700KYSSTKZYGEUF50,FI,Paxos EU,Meritullinkatu 1 B 00170 HELSINKI,https://www.paxos.com/eu,23/11/2022,,No,No,Electronic money institution,,,https://www.membrane.fi/whitepapers/EUROe.html,29/06/2024,,04/07/2025
Finanssivalvonta (FIN-FSA),FI,Paxos Issuance Europe Oy,743700KYSSTKZYGEUF50,FI,Paxos EU,Meritullinkatu 1 B 00170 HELSINKI,https://www.paxos.com/eu,23/11/2022,,No,No,Electronic money institution,,,https://www.membrane.fi/whitepapers/eUSD.html,29/06/2024,,04/07/2025
Finanssivalvonta (FIN-FSA),FI,Paxos Issuance Europe Oy,743700KYSSTKZYGEUF50,FI,Paxos EU,Meritullinkatu 1 B 00170 HELSINKI Suomi,paxos.com/EEA,23/11/2022,,NO,NO,Electronic money institution,,,https://www.paxos.com/terms-and-conditions/usdg-eu-whitepaper,19/12/2025,Added the functionality to use USDG on X layer blockchain,09/12/2025
Autorité de Contrôle Prudentiel et de Resolution (ACPR),FR,Circle Internet Financial Europe SAS,969500OYUDADGZKCR583,FR,,4 Rue de Marivaux 75002 Paris,https://www.circle.com/fr/,01/07/2024,,No,No,Electronic money institution,13XTMPZT3,FJM594L0V|T1J8XQBSD|FJM594L0V|FZQ4WZNHC|FMXXP963M,https://www.circle.com/fr/legal/mica-eurc-whitepaper,01/07/2024,"No comment. Ongoing additional review of the qualitative information provided in each WP item, in accordance with MiCA/ESMA ITS provision and other MiCA compliant WP",24/12/2025
Autorité de Contrôle Prudentiel et de Resolution (ACPR),FR,Circle Internet Financial Europe SAS,969500OYUDADGZKCR583,FR,,4 Rue de Marivaux 75002 Paris,https://www.circle.com/fr/,01/07/2024,,No,No,Electronic money institution,TJWK5QTRK,M8G59S1ZR|6BGZTT6GF|4ZSZS1F4F|45J6XJX7H|CP6817N4B|2ZTG3NNVB|VXJX1WW6V|CK9PW1MFH|P7H2X1B9H|XTS66R22W|GN9M0Z238|R3SV04GX9|RWPZZPR7C|S28NDWCSX|W2PQJJCPM|7NZRGQZ87|898NNTPZJ|N064ZKXDM|J2TPM5RFQ|LS71LQK3L|RN81GQLBH|5R3XFPZSM|MKC04VFBQ|DWBBXD2F1|TSLS4S9R8|FXZLG37L6|T6TQ8GN7L|56V43DKZ3|QQKDMF6N9|SKXZGD4J8|54VFN74B3|,https://www.circle.com/fr/legal/mica-usdc-whitepaper,01/07/2024,"No comment. Ongoing additional review of the qualitative information provided in each WP item, in accordance with MiCA/ESMA ITS provisionand other MiCA compliant WP""",16/12/2025
